reci recn reclat recscale
 0 0 600 0
 0.012 0 600 0
 0.024 0 600 0
 0.036 1 128.85 0
 0.048 11 117.9 0
 0.06 13 113.4 0
 0.072 14 110.85 0
 0.084 16 109.175 0
 0.096 17 107.975 0
 0.108 18 107.075 0
 0.12 18 106.4 0
 0.132 19 105.825 0
 0.144 20 105.375 0
 0.156 20 105 0
 0.168 21 104.675 0
 0.18 21 104.4 0
 0.192 22 104.15 0
 0.204 22 103.95 0
 0.216 22 103.75 0
 0.228 23 103.6 0
 0.24 23 103.45 0
 0.252 23 103.3 0
 0.264 24 103.175 0
 0.276 24 103.075 0
 0.288 24 102.975 0
 0.3 25 102.875 0
 0.312 25 102.775 0
 0.324 25 102.7 0
 0.336 26 102.625 0
 0.348 26 102.575 0
 0.36 26 102.5 0
 0.372 27 102.45 0
 0.384 27 102.375 0
 0.396 27 102.325 0
 0.408 27 102.275 0
 0.42 28 102.225 0
 0.432 28 102.2 0
 0.444 28 102.15 0
 0.456 28 102.1 0
 0.468 29 102.075 0
 0.48 29 102.05 0
 0.492 29 102 0
 0.504 29 101.975 0
 0.516 29 101.95 0
 0.528 29 101.925 0
 0.54 29 101.9 0
 0.552 29 101.875 0
 0.564 1 101.85 0
 0.576 1 101.825 0
 0.588 1 101.8 0
 0.6 1 101.775 0
 0 0 600 0.001
 0.012 0 600 0.001
 0.024 0 600 0.001
 0.036 0 600 0.001
 0.048 1 169.55 0.001
 0.06 10 152.025 0.001
 0.072 12 141.5 0.001
 0.084 13 134.15 0.001
 0.096 15 128.6 0.001
 0.108 16 124.15 0.001
 0.12 17 120.475 0.001
 0.132 17 117.45 0.001
 0.144 18 109.325 0.001
 0.156 19 106.2 0.001
 0.168 19 105.4 0.001
 0.18 20 104.875 0.001
 0.192 20 104.5 0.001
 0.204 21 104.175 0.001
 0.216 21 103.925 0.001
 0.228 22 103.7 0.001
 0.24 22 103.525 0.001
 0.252 23 103.35 0.001
 0.264 23 103.225 0.001
 0.276 23 103.075 0.001
 0.288 24 102.975 0.001
 0.3 24 102.85 0.001
 0.312 24 102.775 0.001
 0.324 25 102.675 0.001
 0.336 25 102.6 0.001
 0.348 25 102.525 0.001
 0.36 26 102.45 0.001
 0.372 26 102.375 0.001
 0.384 26 102.325 0.001
 0.396 27 102.275 0.001
 0.408 27 102.2 0.001
 0.42 27 102.15 0.001
 0.432 28 102.125 0.001
 0.444 28 102.075 0.001
 0.456 28 102.025 0.001
 0.468 28 101.975 0.001
 0.48 29 101.95 0.001
 0.492 29 101.925 0.001
 0.504 29 101.875 0.001
 0.516 29 101.85 0.001
 0.528 29 101.825 0.001
 0.54 29 101.775 0.001
 0.552 29 101.75 0.001
 0.564 7 101.725 0.001
 0.576 6 101.7 0.001
 0.588 5 101.675 0.001
 0.6 5 101.65 0.001
 0 0 600 0.002
 0.012 0 600 0.002
 0.024 0 600 0.002
 0.036 0 600 0.002
 0.048 1 193.5 0.002
 0.06 8 173.525 0.002
 0.072 10 161.55 0.002
 0.084 12 153.25 0.002
 0.096 13 147.025 0.002
 0.108 14 142.1 0.002
 0.12 15 138.075 0.002
 0.132 16 134.675 0.002
 0.144 17 131.775 0.002
 0.156 18 129.225 0.002
 0.168 18 126.975 0.002
 0.18 19 124.95 0.002
 0.192 19 123.125 0.002
 0.204 20 121.475 0.002
 0.216 20 120 0.002
 0.228 21 104.325 0.002
 0.24 22 103.875 0.002
 0.252 22 103.6 0.002
 0.264 22 103.4 0.002
 0.276 23 103.225 0.002
 0.288 23 103.05 0.002
 0.3 24 102.925 0.002
 0.312 24 102.825 0.002
 0.324 24 102.7 0.002
 0.336 25 102.625 0.002
 0.348 25 102.525 0.002
 0.36 25 102.45 0.002
 0.372 26 102.375 0.002
 0.384 26 102.325 0.002
 0.396 26 102.25 0.002
 0.408 27 102.2 0.002
 0.42 27 102.15 0.002
 0.432 27 102.1 0.002
 0.444 27 102.05 0.002
 0.456 28 102 0.002
 0.468 28 101.95 0.002
 0.48 28 101.925 0.002
 0.492 28 101.875 0.002
 0.504 29 101.85 0.002
 0.516 29 101.825 0.002
 0.528 29 101.775 0.002
 0.54 29 101.75 0.002
 0.552 29 101.725 0.002
 0.564 8 101.7 0.002
 0.576 7 101.675 0.002
 0.588 6 101.65 0.002
 0.6 6 101.625 0.002
 0 0 600 0.003
 0.012 0 600 0.003
 0.024 0 600 0.003
 0.036 0 600 0.003
 0.048 1 210.425 0.003
 0.06 7 188.45 0.003
 0.072 9 175.25 0.003
 0.084 11 166.075 0.003
 0.096 12 159.225 0.003
 0.108 13 153.825 0.003
 0.12 14 149.425 0.003
 0.132 15 145.75 0.003
 0.144 16 142.6 0.003
